ID_Venta,Producto,Cantidad,Precio_Unitario,Correo
71,Monitor Dell,-2,1033.7,
72,,3,1004.95,ventas@hotmail.com
73,Laptop HP,0,998.64,correo_sin_arroba.com
74,Monitor Dell,0,1645.83,
75,Mouse Logitech,2,1472.55,ventas@hotmail.com
76,Laptop HP,-2,1049.41,correo_sin_arroba.com
77,Monitor Dell,1,1717.83,ventas@hotmail.com
78,Mouse Logitech,3,1089.26,NO_TIENE
79,Laptop HP,3,481.35,
80,Laptop HP,1,1299.73,cliente@gmail.com
81,Teclado Razer,1,1392.11,ventas@hotmail.com
82,Laptop HP,3,-51.21,
83,,0,123.43,correo_sin_arroba.com
84,,1,1967.19,correo_sin_arroba.com
85,Teclado Razer,1,1209.74,correo_sin_arroba.com
86,Laptop HP,2,372.93,ventas@hotmail.com
87,Teclado Razer,1,1089.4,cliente@gmail.com
88,,0,259.39,cliente@gmail.com
89,Monitor Dell,2,726.92,
90,Laptop HP,5,1835.63,NO_TIENE
91,Teclado Razer,5,1790.67,NO_TIENE
92,Laptop HP,1,814.71,
93,Teclado Razer,-2,1641.26,correo_sin_arroba.com
94,Laptop HP,1,204.69,correo_sin_arroba.com
95,,1,867.43,
96,Monitor Dell,1,399.19,ventas@hotmail.com
97,Teclado Razer,1,1419.3,ventas@hotmail.com
98,,1,1090.52,NO_TIENE
99,Laptop HP,5,1392.8,NO_TIENE
100,Monitor Dell,0,1436.74,ventas@hotmail.com
101,Mouse Logitech,3,1841.1,ventas@hotmail.com
102,,3,329.13,
103,Teclado Razer,1,1557.88,
104,,0,852.77,cliente@gmail.com
105,Mouse Logitech,2,404.71,
106,Teclado Razer,3,1116.66,ventas@hotmail.com
107,Mouse Logitech,2,808.87,ventas@hotmail.com
108,Teclado Razer,5,1005.82,
109,Mouse Logitech,1,71.0,NO_TIENE
110,Teclado Razer,-2,1316.74,cliente@gmail.com
111,Monitor Dell,0,-77.27,ventas@hotmail.com
112,Monitor Dell,3,416.8,NO_TIENE
113,Mouse Logitech,3,999.35,
114,,3,820.42,ventas@hotmail.com
115,Teclado Razer,5,1228.77,NO_TIENE
116,Teclado Razer,5,788.66,ventas@hotmail.com
117,Mouse Logitech,1,369.28,NO_TIENE
118,,3,816.97,NO_TIENE
119,Laptop HP,0,463.67,correo_sin_arroba.com
120,Teclado Razer,5,1849.93,
121,,0,1281.86,ventas@hotmail.com
122,Monitor Dell,0,1689.01,NO_TIENE
123,Monitor Dell,3,1402.6,cliente@gmail.com
124,Mouse Logitech,0,840.64,ventas@hotmail.com
125,Monitor Dell,0,481.52,cliente@gmail.com
126,Teclado Razer,2,429.16,cliente@gmail.com
127,Laptop HP,-2,36.02,
128,Teclado Razer,1,1973.79,NO_TIENE
129,Laptop HP,5,1718.67,ventas@hotmail.com
130,Monitor Dell,-2,752.07,
131,Laptop HP,0,593.0,
132,Monitor Dell,0,50.46,NO_TIENE
133,,0,364.95,ventas@hotmail.com
134,Monitor Dell,1,1092.08,ventas@hotmail.com
135,Monitor Dell,-2,1560.07,cliente@gmail.com
136,Monitor Dell,-2,1976.54,NO_TIENE
137,Laptop HP,1,-36.17,NO_TIENE
138,Mouse Logitech,2,332.6,ventas@hotmail.com
139,,0,246.59,cliente@gmail.com
140,Monitor Dell,2,1311.04,ventas@hotmail.com
141,Mouse Logitech,1,452.64,correo_sin_arroba.com
142,Teclado Razer,2,321.31,ventas@hotmail.com
143,Laptop HP,5,-44.68,ventas@hotmail.com
144,Mouse Logitech,1,117.51,
145,Laptop HP,1,1061.94,cliente@gmail.com
146,,0,1470.3,ventas@hotmail.com
147,Teclado Razer,2,323.88,
148,Laptop HP,2,194.42,NO_TIENE
149,Teclado Razer,3,210.43,cliente@gmail.com
150,Mouse Logitech,5,55.54,
151,Monitor Dell,0,21.74,NO_TIENE
152,Monitor Dell,0,897.8,cliente@gmail.com
153,Monitor Dell,2,965.59,correo_sin_arroba.com
154,Teclado Razer,-2,418.92,NO_TIENE
155,Laptop HP,5,347.75,ventas@hotmail.com
156,Laptop HP,0,360.59,
157,Laptop HP,1,-44.99,cliente@gmail.com
158,Laptop HP,5,122.73,NO_TIENE
159,Laptop HP,5,1291.56,correo_sin_arroba.com
160,Teclado Razer,0,876.61,ventas@hotmail.com
161,Mouse Logitech,1,1190.02,NO_TIENE
162,,5,1013.49,ventas@hotmail.com
163,Monitor Dell,5,600.75,cliente@gmail.com
164,Mouse Logitech,1,761.09,ventas@hotmail.com
165,Laptop HP,-2,546.77,ventas@hotmail.com
166,Laptop HP,1,1277.77,correo_sin_arroba.com
167,Teclado Razer,-2,1000.64,NO_TIENE
168,Mouse Logitech,1,1805.6,cliente@gmail.com
169,Mouse Logitech,1,911.85,
170,,2,248.86,NO_TIENE
171,Laptop HP,1,408.73,NO_TIENE
172,Laptop HP,5,1315.09,correo_sin_arroba.com
173,Monitor Dell,1,113.25,NO_TIENE
174,Monitor Dell,1,1531.89,ventas@hotmail.com
175,,5,1497.35,cliente@gmail.com
176,Monitor Dell,1,267.76,
177,Laptop HP,1,1284.76,ventas@hotmail.com
178,Mouse Logitech,1,1970.47,correo_sin_arroba.com
179,Mouse Logitech,-2,483.73,correo_sin_arroba.com
180,Teclado Razer,1,900.61,
181,Mouse Logitech,3,1882.08,NO_TIENE
182,Mouse Logitech,1,577.57,ventas@hotmail.com
183,Laptop HP,2,866.21,cliente@gmail.com
184,Monitor Dell,1,-36.86,NO_TIENE
185,Teclado Razer,1,1677.04,NO_TIENE
186,,1,756.62,ventas@hotmail.com
187,Mouse Logitech,0,989.27,
188,Teclado Razer,1,1582.17,ventas@hotmail.com
189,Laptop HP,3,1673.63,cliente@gmail.com
190,Monitor Dell,0,1991.83,ventas@hotmail.com
191,Laptop HP,3,1741.72,correo_sin_arroba.com
192,Monitor Dell,0,-19.11,ventas@hotmail.com
193,Laptop HP,3,1781.2,cliente@gmail.com
194,Teclado Razer,0,1906.85,
195,Laptop HP,5,1021.65,ventas@hotmail.com
196,Mouse Logitech,5,1940.91,NO_TIENE
197,,0,370.59,cliente@gmail.com
198,Monitor Dell,-2,390.82,ventas@hotmail.com
199,Laptop HP,1,488.58,ventas@hotmail.com
200,Teclado Razer,-2,956.39,cliente@gmail.com
201,Teclado Razer,5,411.56,
202,Mouse Logitech,2,863.72,NO_TIENE
203,Laptop HP,1,547.05,correo_sin_arroba.com
204,,2,1802.56,
205,Mouse Logitech,3,782.64,
206,Laptop HP,1,1026.81,
207,Laptop HP,3,256.16,cliente@gmail.com
208,Mouse Logitech,2,1476.73,correo_sin_arroba.com
209,Monitor Dell,3,1307.96,cliente@gmail.com
210,Teclado Razer,5,872.07,correo_sin_arroba.com
211,Laptop HP,1,355.75,
212,Laptop HP,2,1866.39,NO_TIENE
213,Mouse Logitech,2,1203.58,correo_sin_arroba.com
214,Mouse Logitech,-2,1339.16,ventas@hotmail.com
215,Mouse Logitech,2,1812.52,ventas@hotmail.com
216,,3,917.82,correo_sin_arroba.com
217,Monitor Dell,1,335.47,cliente@gmail.com
218,Monitor Dell,-2,1395.52,
219,Teclado Razer,-2,1501.01,correo_sin_arroba.com
220,Mouse Logitech,1,410.43,ventas@hotmail.com
221,Laptop HP,0,381.78,correo_sin_arroba.com
222,Teclado Razer,1,1993.71,cliente@gmail.com
223,Monitor Dell,-2,1712.86,correo_sin_arroba.com
224,Laptop HP,1,1438.56,
225,Mouse Logitech,3,408.46,NO_TIENE
226,Laptop HP,5,672.37,cliente@gmail.com
227,Monitor Dell,5,1690.29,NO_TIENE
228,Laptop HP,1,888.34,ventas@hotmail.com
229,Mouse Logitech,1,104.19,correo_sin_arroba.com
230,Teclado Razer,3,192.89,NO_TIENE
231,Monitor Dell,2,788.48,cliente@gmail.com
232,Monitor Dell,1,1803.67,
233,Laptop HP,2,123.91,cliente@gmail.com
234,Monitor Dell,-2,1009.6,
235,Monitor Dell,3,1476.95,
236,Monitor Dell,-2,1370.9,cliente@gmail.com
237,Teclado Razer,1,1182.1,ventas@hotmail.com
238,Teclado Razer,5,1916.89,
239,Monitor Dell,0,1160.09,NO_TIENE
240,Monitor Dell,-2,1189.14,ventas@hotmail.com
241,,-2,683.93,cliente@gmail.com
242,Laptop HP,2,1147.98,
243,Mouse Logitech,5,1530.7,cliente@gmail.com
244,Monitor Dell,3,541.32,cliente@gmail.com
245,Laptop HP,3,976.16,cliente@gmail.com
246,Teclado Razer,0,616.95,NO_TIENE
247,Laptop HP,1,1294.51,cliente@gmail.com
248,Laptop HP,3,-56.88,NO_TIENE
249,,2,1140.48,ventas@hotmail.com
250,Mouse Logitech,1,1333.71,NO_TIENE
251,Mouse Logitech,1,1602.8,ventas@hotmail.com
252,Teclado Razer,-2,714.74,correo_sin_arroba.com
253,Teclado Razer,-2,464.84,NO_TIENE
254,Laptop HP,5,485.64,NO_TIENE
255,Teclado Razer,3,1776.42,correo_sin_arroba.com
256,Laptop HP,2,247.81,ventas@hotmail.com
257,Laptop HP,1,565.38,NO_TIENE
258,Teclado Razer,1,-64.62,NO_TIENE
259,,5,1007.27,
260,Teclado Razer,-2,856.7,NO_TIENE
261,Mouse Logitech,0,414.5,cliente@gmail.com
262,Laptop HP,3,1214.83,correo_sin_arroba.com
263,,5,425.39,NO_TIENE
264,Laptop HP,0,596.26,cliente@gmail.com
265,Laptop HP,5,1648.09,cliente@gmail.com
266,Laptop HP,1,1391.24,correo_sin_arroba.com
267,Monitor Dell,1,1894.35,ventas@hotmail.com
268,Monitor Dell,2,24.74,NO_TIENE
269,Monitor Dell,1,1421.93,correo_sin_arroba.com
270,,-2,1179.92,correo_sin_arroba.com
271,Monitor Dell,2,933.02,
272,Laptop HP,2,156.74,NO_TIENE
273,Teclado Razer,1,1232.83,ventas@hotmail.com
274,Teclado Razer,-2,356.08,NO_TIENE
275,,3,354.66,
276,Teclado Razer,5,982.07,correo_sin_arroba.com
277,Monitor Dell,2,801.0,correo_sin_arroba.com
278,Monitor Dell,1,590.61,NO_TIENE
279,Monitor Dell,5,1942.14,correo_sin_arroba.com
280,,0,389.9,
281,Mouse Logitech,3,952.3,ventas@hotmail.com
282,,0,784.23,ventas@hotmail.com
283,Mouse Logitech,-2,71.88,NO_TIENE
284,Mouse Logitech,0,1578.71,NO_TIENE
285,Mouse Logitech,1,1231.07,correo_sin_arroba.com
286,Laptop HP,0,1446.94,correo_sin_arroba.com
287,Teclado Razer,3,1220.3,cliente@gmail.com
288,Monitor Dell,1,1489.98,ventas@hotmail.com
289,Monitor Dell,1,196.38,ventas@hotmail.com
290,,2,1920.14,NO_TIENE
291,Teclado Razer,1,660.39,correo_sin_arroba.com
292,Laptop HP,2,109.02,cliente@gmail.com
293,Monitor Dell,3,1634.99,correo_sin_arroba.com
294,Laptop HP,1,1559.84,correo_sin_arroba.com
295,Mouse Logitech,3,1177.8,cliente@gmail.com
296,,1,189.98,correo_sin_arroba.com
297,,-2,398.77,ventas@hotmail.com
298,Mouse Logitech,3,285.97,correo_sin_arroba.com
299,Teclado Razer,0,15.22,correo_sin_arroba.com
300,Teclado Razer,5,1070.75,NO_TIENE
301,Monitor Dell,5,28.72,cliente@gmail.com
302,Laptop HP,3,1863.45,cliente@gmail.com
303,Laptop HP,1,1333.56,cliente@gmail.com
304,Teclado Razer,0,1774.06,NO_TIENE
305,,1,1681.73,NO_TIENE
306,Monitor Dell,5,521.39,ventas@hotmail.com
307,,1,420.52,NO_TIENE
308,Teclado Razer,1,966.19,ventas@hotmail.com
309,Monitor Dell,-2,1818.57,NO_TIENE
310,Teclado Razer,2,669.07,correo_sin_arroba.com
311,Teclado Razer,3,1885.91,ventas@hotmail.com
312,Monitor Dell,2,881.7,cliente@gmail.com
313,Laptop HP,3,1413.19,NO_TIENE
314,,1,686.21,
315,Teclado Razer,0,547.55,ventas@hotmail.com
316,Teclado Razer,1,1247.71,
317,Teclado Razer,-2,1622.19,correo_sin_arroba.com
318,Monitor Dell,1,1108.53,
319,,0,1044.3,ventas@hotmail.com
320,Teclado Razer,0,1393.9,NO_TIENE
321,Mouse Logitech,-2,179.29,correo_sin_arroba.com
322,Laptop HP,0,687.36,ventas@hotmail.com
323,Monitor Dell,2,1430.14,ventas@hotmail.com
324,Mouse Logitech,-2,468.44,cliente@gmail.com
325,Teclado Razer,1,1357.03,NO_TIENE
326,Laptop HP,1,979.29,correo_sin_arroba.com
327,Monitor Dell,3,202.27,ventas@hotmail.com
328,Monitor Dell,-2,1574.56,
329,Mouse Logitech,1,-63.8,NO_TIENE
330,Teclado Razer,1,904.6,correo_sin_arroba.com
331,,0,1868.17,
332,Monitor Dell,3,1972.81,correo_sin_arroba.com
333,Monitor Dell,1,-0.14,
334,,-2,1095.22,ventas@hotmail.com
335,Laptop HP,1,539.63,ventas@hotmail.com
336,Laptop HP,1,1419.36,correo_sin_arroba.com
337,Mouse Logitech,5,1139.09,NO_TIENE
338,Mouse Logitech,1,455.31,
339,Laptop HP,2,98.23,correo_sin_arroba.com
340,Laptop HP,0,1722.31,correo_sin_arroba.com
341,Monitor Dell,1,1557.51,ventas@hotmail.com
342,Mouse Logitech,1,398.69,cliente@gmail.com
343,Mouse Logitech,3,816.14,cliente@gmail.com
344,Laptop HP,-2,1255.57,cliente@gmail.com
345,Mouse Logitech,-2,925.88,correo_sin_arroba.com
346,Teclado Razer,5,222.74,NO_TIENE
347,Laptop HP,3,1262.81,NO_TIENE
348,Monitor Dell,1,349.22,
349,,0,726.8,correo_sin_arroba.com
350,Monitor Dell,-2,284.76,NO_TIENE
351,,1,1985.1,correo_sin_arroba.com
352,Teclado Razer,5,645.23,NO_TIENE
353,Teclado Razer,2,1699.29,NO_TIENE
354,Teclado Razer,1,1099.86,
355,Laptop HP,5,1349.31,cliente@gmail.com
356,Laptop HP,5,48.9,correo_sin_arroba.com
357,Monitor Dell,1,814.81,
358,Laptop HP,3,1559.43,cliente@gmail.com
359,,-2,951.62,NO_TIENE
360,Mouse Logitech,1,707.22,NO_TIENE
361,Monitor Dell,-2,958.53,ventas@hotmail.com
362,Teclado Razer,5,727.34,cliente@gmail.com
363,Mouse Logitech,3,597.39,correo_sin_arroba.com
364,Monitor Dell,2,928.76,NO_TIENE
365,,5,693.96,cliente@gmail.com
366,,2,1202.92,correo_sin_arroba.com
367,Teclado Razer,2,482.36,ventas@hotmail.com
368,,1,1544.97,cliente@gmail.com
369,Monitor Dell,-2,1792.61,ventas@hotmail.com
370,Laptop HP,2,438.66,
371,Laptop HP,5,789.67,correo_sin_arroba.com
372,Mouse Logitech,3,508.16,ventas@hotmail.com
373,Mouse Logitech,1,1910.36,NO_TIENE
374,Laptop HP,3,329.14,correo_sin_arroba.com
375,Mouse Logitech,3,232.69,
376,,1,1960.4,ventas@hotmail.com
377,Mouse Logitech,2,200.34,correo_sin_arroba.com
378,Monitor Dell,2,662.93,ventas@hotmail.com
379,,1,252.6,ventas@hotmail.com
380,Laptop HP,-2,504.84,NO_TIENE
381,Mouse Logitech,1,751.16,
382,,5,854.31,NO_TIENE
383,Laptop HP,1,1322.41,cliente@gmail.com
384,Monitor Dell,1,1207.18,
385,Teclado Razer,1,508.56,ventas@hotmail.com
386,,5,493.93,cliente@gmail.com
387,Mouse Logitech,2,480.97,correo_sin_arroba.com
388,Monitor Dell,3,777.65,NO_TIENE
389,Monitor Dell,3,964.3,correo_sin_arroba.com
390,Teclado Razer,3,1502.35,cliente@gmail.com
391,,5,764.42,
392,Laptop HP,0,710.35,correo_sin_arroba.com
393,Mouse Logitech,0,1671.47,correo_sin_arroba.com
394,Teclado Razer,1,1683.88,cliente@gmail.com
395,Monitor Dell,2,1598.55,
396,Laptop HP,5,443.7,ventas@hotmail.com
397,Monitor Dell,3,62.01,ventas@hotmail.com
398,,5,1565.16,cliente@gmail.com
399,Mouse Logitech,3,1456.22,correo_sin_arroba.com
400,Monitor Dell,3,1196.87,ventas@hotmail.com
401,Laptop HP,0,1064.06,
402,Laptop HP,-2,846.73,
403,Laptop HP,3,1236.27,correo_sin_arroba.com
404,Mouse Logitech,-2,691.59,NO_TIENE
405,Laptop HP,-2,1445.89,correo_sin_arroba.com
406,Mouse Logitech,2,399.8,NO_TIENE
407,,5,1735.53,correo_sin_arroba.com
408,,5,550.68,cliente@gmail.com
409,,2,112.13,NO_TIENE
410,,-2,637.11,ventas@hotmail.com
411,Teclado Razer,0,1488.99,
412,,1,1136.15,correo_sin_arroba.com
413,Teclado Razer,2,1666.2,ventas@hotmail.com
414,,0,756.08,NO_TIENE
415,Monitor Dell,-2,1121.57,correo_sin_arroba.com
416,,-2,586.48,correo_sin_arroba.com
417,Mouse Logitech,1,665.8,correo_sin_arroba.com
418,Monitor Dell,5,1967.84,NO_TIENE
419,Mouse Logitech,-2,121.87,cliente@gmail.com
420,Mouse Logitech,1,881.83,cliente@gmail.com
421,Monitor Dell,2,229.25,
422,Monitor Dell,1,572.09,NO_TIENE
423,,1,769.01,
424,Laptop HP,5,1468.22,correo_sin_arroba.com
425,Mouse Logitech,2,832.31,cliente@gmail.com
426,,5,723.57,NO_TIENE
427,,2,1514.72,ventas@hotmail.com
428,Teclado Razer,-2,932.59,correo_sin_arroba.com
429,Monitor Dell,5,1178.04,NO_TIENE
430,Mouse Logitech,5,-86.43,correo_sin_arroba.com
431,Teclado Razer,0,871.31,correo_sin_arroba.com
432,Teclado Razer,0,615.17,cliente@gmail.com
433,Mouse Logitech,-2,1627.61,
434,Teclado Razer,3,555.89,ventas@hotmail.com
435,,3,32.18,NO_TIENE
436,Teclado Razer,2,394.38,NO_TIENE
437,,5,17.99,correo_sin_arroba.com
438,Laptop HP,2,1766.16,
439,,5,1289.22,
440,Monitor Dell,-2,1601.65,
441,,1,1510.6,
442,Laptop HP,3,1757.68,ventas@hotmail.com
443,Mouse Logitech,3,1312.1,NO_TIENE
444,,1,588.5,ventas@hotmail.com
445,Monitor Dell,5,1561.05,correo_sin_arroba.com
446,Monitor Dell,0,1352.09,correo_sin_arroba.com
447,,1,713.19,cliente@gmail.com
448,Laptop HP,2,1082.45,NO_TIENE
449,Mouse Logitech,3,1091.63,
450,Mouse Logitech,2,520.16,
451,Teclado Razer,1,1344.27,cliente@gmail.com
452,Teclado Razer,1,1774.95,NO_TIENE
453,Monitor Dell,5,-52.95,cliente@gmail.com
454,Mouse Logitech,5,1290.63,correo_sin_arroba.com
455,Laptop HP,-2,1121.18,
456,Monitor Dell,0,606.52,correo_sin_arroba.com
457,Laptop HP,0,1304.25,
458,Teclado Razer,3,1858.04,correo_sin_arroba.com
459,Laptop HP,2,256.18,cliente@gmail.com
460,,5,102.86,correo_sin_arroba.com
461,Monitor Dell,3,1398.42,cliente@gmail.com
462,Teclado Razer,1,1392.82,cliente@gmail.com
463,Monitor Dell,2,708.83,ventas@hotmail.com
464,Laptop HP,5,863.01,NO_TIENE
465,,0,740.98,cliente@gmail.com
466,Monitor Dell,3,121.29,correo_sin_arroba.com
467,Monitor Dell,0,449.27,
468,,5,514.59,ventas@hotmail.com
469,Mouse Logitech,5,1395.71,correo_sin_arroba.com
470,Laptop HP,1,1847.05,
471,Laptop HP,2,1452.92,cliente@gmail.com
472,Laptop HP,1,1811.86,
473,Laptop HP,5,728.16,cliente@gmail.com
474,Mouse Logitech,5,1491.92,cliente@gmail.com
475,Mouse Logitech,1,1880.07,cliente@gmail.com
476,Mouse Logitech,3,1153.69,
477,Laptop HP,0,1961.18,NO_TIENE
478,Monitor Dell,-2,1401.95,correo_sin_arroba.com
479,Monitor Dell,1,1185.32,ventas@hotmail.com
480,Monitor Dell,-2,1023.26,
481,Monitor Dell,2,588.02,ventas@hotmail.com
482,,3,557.72,correo_sin_arroba.com
483,Laptop HP,3,98.83,correo_sin_arroba.com
484,,1,566.04,cliente@gmail.com
485,Monitor Dell,1,1355.64,
486,Mouse Logitech,1,310.32,
487,Monitor Dell,5,898.02,NO_TIENE
488,Laptop HP,1,60.03,cliente@gmail.com
489,Monitor Dell,1,620.81,cliente@gmail.com
490,Monitor Dell,1,483.33,ventas@hotmail.com
491,Laptop HP,2,334.71,
492,Monitor Dell,2,435.05,ventas@hotmail.com
493,Monitor Dell,1,1894.33,
494,Teclado Razer,2,42.66,cliente@gmail.com
495,Monitor Dell,0,1873.45,cliente@gmail.com
496,Teclado Razer,2,82.31,ventas@hotmail.com
497,,2,1824.51,correo_sin_arroba.com
498,Mouse Logitech,3,454.22,NO_TIENE
499,Teclado Razer,1,-39.37,correo_sin_arroba.com
500,Laptop HP,1,1243.75,ventas@hotmail.com
501,Monitor Dell,-2,149.89,cliente@gmail.com
502,Monitor Dell,2,11.08,ventas@hotmail.com
503,,5,1538.46,
504,Mouse Logitech,3,743.86,cliente@gmail.com
505,Monitor Dell,2,725.79,correo_sin_arroba.com
506,Laptop HP,-2,735.52,ventas@hotmail.com
507,,1,38.2,NO_TIENE
508,Mouse Logitech,2,235.24,NO_TIENE
509,Monitor Dell,1,1450.99,cliente@gmail.com
510,Mouse Logitech,0,1752.61,cliente@gmail.com
511,Laptop HP,1,274.62,NO_TIENE
512,Teclado Razer,3,911.69,correo_sin_arroba.com
513,Monitor Dell,1,1298.76,
514,Monitor Dell,3,1234.54,ventas@hotmail.com
515,Monitor Dell,0,132.15,cliente@gmail.com
516,Mouse Logitech,3,1657.74,NO_TIENE
517,,5,993.73,
518,,3,-85.87,NO_TIENE
519,Mouse Logitech,3,127.56,NO_TIENE
520,Laptop HP,-2,625.69,cliente@gmail.com
521,Laptop HP,3,321.55,
522,Mouse Logitech,1,1004.47,NO_TIENE
523,,5,73.5,
524,Laptop HP,2,944.78,correo_sin_arroba.com
525,Laptop HP,5,366.86,
526,Laptop HP,5,1215.82,NO_TIENE
527,Teclado Razer,1,1116.53,ventas@hotmail.com
528,,5,156.49,correo_sin_arroba.com
529,Teclado Razer,5,-36.41,NO_TIENE
530,Monitor Dell,-2,1508.3,correo_sin_arroba.com
531,Teclado Razer,5,577.9,ventas@hotmail.com
532,Teclado Razer,0,1890.19,ventas@hotmail.com
533,Teclado Razer,0,1202.38,correo_sin_arroba.com
534,,1,1736.45,
535,Teclado Razer,5,872.3,cliente@gmail.com
536,Laptop HP,0,124.87,ventas@hotmail.com
537,,0,379.41,NO_TIENE
538,Teclado Razer,-2,1442.39,NO_TIENE
539,Monitor Dell,2,-60.34,ventas@hotmail.com
540,Monitor Dell,1,1302.2,cliente@gmail.com
541,Laptop HP,3,1853.11,correo_sin_arroba.com
542,,3,1512.82,ventas@hotmail.com
543,Monitor Dell,3,1576.92,
544,,5,1174.24,ventas@hotmail.com
545,Teclado Razer,-2,987.82,cliente@gmail.com
546,,1,1590.26,correo_sin_arroba.com
547,Monitor Dell,2,326.79,
548,Teclado Razer,1,1364.54,
549,Laptop HP,1,380.57,cliente@gmail.com
550,,5,1505.14,correo_sin_arroba.com
551,,3,1770.32,cliente@gmail.com
552,Monitor Dell,5,354.95,NO_TIENE
553,Teclado Razer,5,1604.54,cliente@gmail.com
554,Mouse Logitech,1,1661.54,
555,Teclado Razer,0,226.52,ventas@hotmail.com
556,Laptop HP,-2,1185.18,correo_sin_arroba.com
557,,2,289.51,correo_sin_arroba.com
558,Laptop HP,1,509.41,correo_sin_arroba.com
559,Teclado Razer,1,1970.44,cliente@gmail.com
560,Laptop HP,-2,936.53,ventas@hotmail.com
561,Mouse Logitech,1,600.96,cliente@gmail.com
562,Teclado Razer,3,1119.82,correo_sin_arroba.com
563,Mouse Logitech,3,1752.71,
564,Laptop HP,0,665.5,
565,Teclado Razer,3,1831.61,
566,,0,1777.67,
567,Teclado Razer,1,1552.22,correo_sin_arroba.com
568,Teclado Razer,3,1821.36,
569,Teclado Razer,1,1490.02,NO_TIENE
570,Teclado Razer,5,678.38,ventas@hotmail.com
571,Laptop HP,2,1740.99,
572,,-2,-59.98,cliente@gmail.com
573,Teclado Razer,1,474.08,NO_TIENE
574,Laptop HP,1,1895.26,ventas@hotmail.com
575,Mouse Logitech,1,449.42,
576,Teclado Razer,-2,1701.25,cliente@gmail.com
577,Mouse Logitech,1,163.51,cliente@gmail.com
578,Laptop HP,5,1978.56,correo_sin_arroba.com
579,Teclado Razer,5,1744.69,correo_sin_arroba.com
580,Teclado Razer,3,995.47,correo_sin_arroba.com
581,Laptop HP,5,619.77,cliente@gmail.com
582,Mouse Logitech,1,567.28,correo_sin_arroba.com
583,,5,397.58,
584,Laptop HP,3,1733.69,correo_sin_arroba.com
585,Mouse Logitech,1,1033.21,NO_TIENE
586,Laptop HP,0,1869.22,
